catalogNumber;basisOfRecord;decimalLatitude;decimalLongitude;Class;order;family;genus;specificEpithet;infraspecificEpithet;nameAcordingTo;verbatimTaxonRank;taxonRank;acceptedNameUsage;;;establishmentMeans;;;locationRemarks;sex
AA0128;;348656;6284285;Magnoliopsida;Sapindales;Rutaceae;Citrus;;;L.;;genus;Citrus L.;ACCEPTED;Muerto;Exotica;2019;;;
AA0129;;348656;6284294;Magnoliopsida;Sapindales;Rutaceae;Citrus;;;L.;;;Citrus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0130;;348658;6284303;Magnoliopsida;Sapindales;Rutaceae;Citrus;;;L.;;;Citrus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0131;;348655;6284312;Magnoliopsida;Sapindales;Rutaceae;Citrus;;;L.;;;Citrus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0132;;348639;6284300;Magnoliopsida;Fabales;Fabaceae;Gleditsia;triacanthos;;L.;;;Gleditsia triacanthos L.;ACCEPTED;Viva;Exotica;2019;;;
AA0133;;348630;6284295;Magnoliopsida;Fabales;Fabaceae;Gleditsia;triacanthos;;L.;;;Gleditsia triacanthos L.;ACCEPTED;Viva;Exotica;2019;;;
AA0134;;348626;6284287;Magnoliopsida;Fabales;Fabaceae;Gleditsia;triacanthos;;L.;;;Gleditsia triacanthos L.;ACCEPTED;Viva;Exotica;2019;;;
AA0135;;348632;6284283;Magnoliopsida;Fabales;Fabaceae;Gleditsia;triacanthos;;L.;;;Gleditsia triacanthos L.;ACCEPTED;Viva;Exotica;2019;;;
AA0136;;348615;6284289;Magnoliopsida;Saxifragales;Altingiaceae;Liquidambar;styraciflua;;L.;;;Liquidambar styraciflua L.;ACCEPTED;Viva;Exotica;2019;;;
AA0137;;348613;6284291;Magnoliopsida;Rosales;Moraceae;Ficus;religiosa;;L.;;;Ficus religiosa L.;ACCEPTED;Viva;Exotica;2019;;;
AA0138;;348615;6284293;Magnoliopsida;Saxifragales;Altingiaceae;Liquidambar;styraciflua;;L.;;;Liquidambar styraciflua L.;ACCEPTED;Viva;Exotica;2019;;;
AA0139;;348616;6284305;Magnoliopsida;Saxifragales;Altingiaceae;Liquidambar;styraciflua;;L.;;;Liquidambar styraciflua L.;ACCEPTED;Viva;Exotica;2019;;;
