catalogNumber,catalogNumber,basisOfRecord,decimalLatitude,decimalLongitude,phylum,Class,order,family,genus,specificEpithet,infraspecificEpithet,nameAcordingTo,verbatimTaxonRank,taxonRank,acceptedNameUsage,Nombre común,Estado,establishmentMeans,ingreso,plantacion,sex
AA0091,AA0091,LivingSpecimen,348576,6284199,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,ornus,,L.,,species,Fraxinus ornus L.,,Viva,Exótica,2019,,hermaphrodite
AA0092,AA0092,LivingSpecimen,348576,6284203,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,excelsior,,L.,,species,Fraxinus excelsior L.,,Viva,Exótica,2019,,hermaphrodite
AA0093,AA0093,LivingSpecimen,348617,6284209,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Melia,azedarach,,L.,,species,Melia azedarach L.,,Viva,Exótica,2019,,hermaphrodite
AA0094,AA0094,LivingSpecimen,348622,6284208,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,pseudoplatanus,,L.,,species,Acer pseudoplatanus L.,,Viva,Exótica,2019,,hermaphrodite
AA0095,AA0095,LivingSpecimen,348643,6284209,Tracheophyta,Magnoliopsida,Fagales,Casuarinaceae,Casuarina,equisetifolia,,L.,,species,Casuarina equisetifolia L.,,Viva,Exótica,2019,,
AA0096,AA0096,LivingSpecimen,348650,6284206,Tracheophyta,Magnoliopsida,Fagales,Casuarinaceae,Casuarina,equisetifolia,,L.,,species,Casuarina equisetifolia L.,,Viva,Exótica,2019,,
AA0097,AA0097,LivingSpecimen,348653,6284204,Tracheophyta,Magnoliopsida,Fagales,Casuarinaceae,Casuarina,equisetifolia,,L.,,species,Casuarina equisetifolia L.,,Viva,Exótica,2019,,
AA0098,AA0098,LivingSpecimen,348644,6284217,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,negundo,,L.,,species,Acer negundo L.,,Viva,Exótica,2019,,hermaphrodite
AA0099,AA0099,LivingSpecimen,348635,6284222,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,americana,,L.,,species,Agave americana L.,,Viva,Exótica,2019,,
AA0100,AA0100,LivingSpecimen,348636,6284213,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dealbata,,Link,,species,Acacia dealbata Link,,Viva,Exótica,2019,,hermaphrodite
AA0101,AA0101,LivingSpecimen,348626,6284212,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Jacaranda,mimosifolia,,D.Don,,species,Jacaranda mimosifolia D.Don,,Viva,Exótica,2019,,hermaphrodite
AA0102,AA0102,LivingSpecimen,348617,6284214,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Melia,azedarach,,L.,,species,Melia azedarach L.,,Viva,Exótica,2019,,hermaphrodite
AA0103,AA0103,LivingSpecimen,348618,6284220,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,pseudoplatanus,,L.,,species,Acer pseudoplatanus L.,,Viva,Exótica,2019,,hermaphrodite
AA0104,AA0104,LivingSpecimen,348619,6284220,Tracheophyta,Magnoliopsida,Proteales,Proteaceae,Grevillea,robusta,,A.Cunn. ex R.Br.,,species,Grevillea robusta A.Cunn. ex R.Br.,,Viva,Exótica,2019,,hermaphrodite
AA0105,AA0105,LivingSpecimen,348618,6284226,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,pseudoplatanus,,L.,,species,Acer pseudoplatanus L.,,Viva,Exótica,2019,,hermaphrodite
AA0106,AA0106,LivingSpecimen,348619,6284237,Tracheophyta,Magnoliopsida,Myrtales,Lythraceae,Lagerstroemia,indica,,L.,,species,Lagerstroemia indica L.,,Viva,Exótica,2019,,hermaphrodite
AA0107,AA0107,LivingSpecimen,348621,6284241,Tracheophyta,Magnoliopsida,Myrtales,Lythraceae,Lagerstroemia,indica,,L.,,species,Lagerstroemia indica L.,,Viva,Exótica,2019,,hermaphrodite
AA0108,AA0108,LivingSpecimen,348622,6284245,Tracheophyta,Magnoliopsida,Myrtales,Lythraceae,Lagerstroemia,indica,,L.,,species,Lagerstroemia indica L.,,Viva,Exótica,2019,,hermaphrodite
AA0109,AA0109,LivingSpecimen,348622,6284249,Tracheophyta,Magnoliopsida,Myrtales,Lythraceae,Lagerstroemia,indica,,L.,,species,Lagerstroemia indica L.,,Viva,Exótica,2019,,hermaphrodite
AA0110,AA0110,LivingSpecimen,348623,6284252,Tracheophyta,Magnoliopsida,Myrtales,Lythraceae,Lagerstroemia,indica,,L.,,species,Lagerstroemia indica L.,,Viva,Exótica,2019,,hermaphrodite
AA0111,AA0111,LivingSpecimen,348637,6284250,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Gleditsia,triacanthos,,L.,,species,Gleditsia triacanthos L.,,Viva,Exótica,2019,,hermaphrodite
AA0112,AA0112,LivingSpecimen,348637,6284250,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Gleditsia,triacanthos,,L.,,species,Gleditsia triacanthos L.,,Viva,Exótica,2019,,hermaphrodite
